"","name","city","postalcode","address","url","long","lat"
"6279","ANNEXE ARENA DU PAYS D'AIX","Aix En Provence","13290","1955 rue Claude Nicolas Le DouX","https://www.ticketmaster.fr/fr/salle/arena-du-pays-d-aix/idsite/17909","5.387586","43.481248"
"6280","PATINOIRE - SAMOENS","Samoens","74340","155 Route des drugeres","https://www.ticketmaster.fr/fr/salle/patinoire-samoens/idsite/18277","6.7274","46.083455"
"6281","MUSEE MICHEL CIRY","Varengeville Sur Mer","76119","6Bis, Rue Marguerite Rolle","https://www.ticketmaster.fr/fr/salle/musee-michel-ciry-varengeville-sur-mer/idsite/18274","0.990445","49.908268"
"6282","OPERA CONFLUENCE AVIGNON","Avignon","84000","PLACE DE L'EUROPE","https://www.ticketmaster.fr/fr/salle/opera-confluence-avignon/idsite/18278","4.793221","43.945363"
"6283","LA MARTELLE","Le Poire Sur Vie","85170","rue de la Martelle","https://www.ticketmaster.fr/fr/salle/la-martelle-le-poire-sur-vie/idsite/18268","-1.506544","46.76966"
"6284","ECOPARK ADVENTURES","PENZE TAULE","29670","ROUTE NATIONALE","https://www.ticketmaster.fr/fr/salle/ecopark-adventures/idsite/18284",NA,NA
"6285","CHAPITEAU DU CIRQUE SUR L'EAU","St Palais Sur Mer","17420","PLACE DU CONCIE","https://www.ticketmaster.fr/fr/salle/chapiteau-medrano/idsite/3058","-1.088055","45.642534"
"6286","SALLE JANINE ET MICHEL RAECKELBOOM (LE SART)","Merville","59660","Rue D'Aire","https://www.ticketmaster.fr/fr/salle/salle-janine-et-michel-raeckelboom-merville/idsite/18289","2.608542","50.63894"
"6287","EGLISE SAINT-NICOLAS","La Frette Sur Seine","95530","48 Bis Quai de Seine","https://www.ticketmaster.fr/fr/salle/eglise-saint-nicolas-la-frette-sur-seine/idsite/18294","2.176837","48.976073"
"6288","CHAPITEAU DU CIRQUE SUR L'EAU","Mauriac","15200","PARC DES REDINES","https://www.ticketmaster.fr/fr/salle/chapiteau-medrano/idsite/3058","2.331614","45.218426"
"6289","ECOPARK ADVENTURES","Sannois","95110","RUE DE L'ERMITAGE","https://www.ticketmaster.fr/fr/salle/ecopark-adventures/idsite/18284","2.237027","48.975356"
"6290","COUR D'HONNEUR LA ROUMANIERE","Robion","84440","Rue Jean Fossier","https://www.ticketmaster.fr/fr/salle/cour-d-honneur-la-roumaniere-robion/idsite/18245","5.112123","43.843694"
"6291","L'USINE CREATIVE","Montaigu Vendee","85600","4 rue Marie Curie","https://www.ticketmaster.fr/fr/salle/l-usine-creative/idsite/18267","-1.311331","46.976181"
"6292","CHATEAU DE VIVEN, THEATRE DE VERDURE","Viven","64450","Chemin du Chateau, Jardins","https://www.ticketmaster.fr/fr/salle/chateau-de-viven/idsite/18252","-0.379058","43.459073"
"6293","La Halle de Martigues - Esplanade Extérieure","Martigues","13500","Quartier de l'hotel de ville","https://www.ticketmaster.fr/fr/salle/la-halle-martigues/idsite/320","5.054822","43.407463"
"6294","ECOPARK ADVENTURES","Sollies Ville","83210","DOMAINE DE LA CASTILLE","https://www.ticketmaster.fr/fr/salle/ecopark-adventures/idsite/18284","6.037801","43.182485"
"6295","ROUBAIX MUSIC - ROUBAIX","Roubaix","59100","107 BOULEVARD GAMBETTA","https://www.ticketmaster.fr/fr/salle/roubaix-music-roubaix/idsite/18248","3.18316","50.692312"
"6296","ECOLE PRIMAIRE DE LA FERRAGE","Nans Les Pins","83860","ROUTE DE LA SAINTE-BAUME","https://www.ticketmaster.fr/fr/salle/ecole-primaire-de-la-ferrage/idsite/18247","5.782688","43.353215"
"6297","PISTE MONSTER SHOW","HYERES LES PALMIERS","83400","ROUTE DES MARAIS","https://www.ticketmaster.fr/fr/salle/piste-monster-show-hyeres-les-palmiers/idsite/18263",NA,NA
"6298","JARDIN DE LA PAIX","St Jean Cap Ferrat","06230","Chemin de St Hospice","https://www.ticketmaster.fr/fr/salle/jardin-de-la-paix-st-jean-cap-ferrat/idsite/18288","7.345021","43.685822"
"6299","EGLISE SAINT DIDIER - GROS-REDERCHING","Gros Rederching","57410","RUE DE L'EGLISE","https://www.ticketmaster.fr/fr/salle/eglise-saint-didier-gros-rederching/idsite/18269","7.217376","49.067716"
"6300","PONT D'ESPAGNE","Cauterets","65110","PARKING DU PUNTAS","https://www.ticketmaster.fr/fr/salle/bikepark-cauterets/idsite/18283","-0.114034","42.887613"
"6301","CHATEAU DE SAINT GERMAIN EN LAYE","St Germain En Laye","78100","2 PLACE CHARLES DE GAULLE","https://www.ticketmaster.fr/fr/salle/chateau-de-saint-germain-en-laye/idsite/18270","2.095218","48.8973"
"6302","EGLISE NOTRE DAME DE BON SECOURS","La Bernerie En Retz","44760","12 RUE JEAN DUPLESSIS","https://www.ticketmaster.fr/fr/salle/eglise-notre-dame-de-bon-secours/idsite/18251","-2.038147","47.081231"
"6303","BIKEPARK - CIRQUE DU LYS CAUTERETS","Cauterets","65110","AV. DOCTEUR DOMER - TELECABINE","https://www.ticketmaster.fr/fr/salle/bikepark-cauterets/idsite/18283","-0.114034","42.887613"
"6304","ECOPARK ADVENTURES","BIEVRES","91570","DOMAINE DE MONTECLIN","https://www.ticketmaster.fr/fr/salle/ecopark-adventures/idsite/18284",NA,NA
"6305","BASE NAUTIQUE DE COLMAR/HOUSSEN","Colmar","68000","RUE DENIS PAPIN","https://www.ticketmaster.fr/fr/salle/base-nautique-de-colmar-houssen/idsite/18260","7.377127","48.111739"
"6306","SALLE CLARISSE BRIAN-RECLUS","Ste Foy La Grande","33220","8 RUE JEAN-LOUIS FAURE","https://www.ticketmaster.fr/fr/salle/salle-clarisse-brian-reclus-ste-foy-la-grande/idsite/18265","0.214001","44.841869"
"6307","THEATRE DE VERDURE DU MONT COTTON","Bagnols Sur Ceze","30200","AVENUE VINCENT AURIOL","https://www.ticketmaster.fr/fr/salle/theatre-de-verdure-du-mont-cotton/idsite/18271","4.617451","44.158304"
"6308","SALLE DES FETES - ST ETIENNE DES OULLIERES","St Etienne Des Oullieres","69460","LE BOURG","https://www.ticketmaster.fr/fr/salle/salle-des-fetes-st-etienne-des-oullieres/idsite/18272","4.648229","46.067309"
"6309","ECOPARK ADVENTURES","Marseille","13013","20 BD MADELEINE REMUSAT","https://www.ticketmaster.fr/fr/salle/ecopark-adventures/idsite/18284","5.421867","43.336602"
"6310","THEATRE LES 3 SOLEILS","Avignon","84000","4, RUE BUFFON","https://www.ticketmaster.fr/fr/salle/theatre-les-3-soleils-avignon/idsite/18256","4.815927","43.947608"
"6311","NUBIA","Boulogne Billancourt","92100","1 VOIE ILE SEGUIN","https://www.ticketmaster.fr/fr/salle/nubia-boulogne-billancourt/idsite/18246","2.243312","48.8338"
"6312","AZAR CLUB - Confluence Pavillon 52","Lyon","69002","52 Quai Rambaud","https://www.ticketmaster.fr/fr/salle/azar-club-confluence-pavillon-52/idsite/18285","4.815677","45.735545"
"6313","THEATRE DE L'AVANT SCENE","Trelaze","49800","CHEMIN DE LA MARAICHERE","https://www.ticketmaster.fr/fr/salle/theatre-de-l-avant-scene/idsite/18276","-0.490221","47.446793"
"6314","LE CASINO D'ARRAS - LA CAVE","Arras","62000","3 RUE EMILE LEGRELLE","https://www.ticketmaster.fr/fr/salle/casino-arras/idsite/109","2.777146","50.289892"
"6315","CHATEAU DE MALBROUCK","Manderen Ritzing","57480","Château de Malbrouck","https://www.ticketmaster.fr/fr/salle/chateau-de-malbrouck/idsite/18290","6.437508","49.450735"
"6316","DOMAINE DE LA BRILLANE","Aix En Provence","13100","195 ROUTE COUTERON","https://www.ticketmaster.fr/fr/salle/domaine-de-la-brillane-aix-en-provence/idsite/19370",NA,NA
"6317","CHAPITEAU CIRQUE MONDIAL","Bordeaux","33000","PLACE DES QUINCONCES","https://www.ticketmaster.fr/fr/salle/chapiteau-cirque-mondial/idsite/19373",NA,NA
"6318","PORT OSTREICOLE D'ARES","Ares","33740","ROUTE DU PORT OSTREICOLE","https://www.ticketmaster.fr/fr/salle/port-ostreicole-d-ares/idsite/19352",NA,NA
"6319","EGLISE SAINT-VAAST - ARMENTIERES","Armentieres","59280","22 PLACE SAINT-VAAST","https://www.ticketmaster.fr/fr/salle/eglise-saint-vaast-armentieres/idsite/19356",NA,NA
"6320","REIMS ARENA","Reims","51100","BOULEVARD JULES CESAR","https://www.ticketmaster.fr/fr/salle/reims-arena/idsite/19358",NA,NA
"6321","CINEMA CGR","Cholet","49300","ARCADES ROUGE","https://www.ticketmaster.fr/fr/salle/cinema-cgr-cholet/idsite/19359",NA,NA
"6322","ELDORADO FESTIVAL","Bram","11150","AVENUE DU LAURAGAIS","https://www.ticketmaster.fr/fr/salle/eldorado-festival/idsite/19353",NA,NA
"6323","CENTRE SOCIO CULTUREL","Assevent","59600","ROUTE DE BOUSSOIS","https://www.ticketmaster.fr/fr/salle/centre-socio-culturel-assevent/idsite/19349",NA,NA
"6324","MARCHE GARE - CARPENTRAS","Carpentras","84200","2300 CHEMIN DE SAINT-GENS","https://www.ticketmaster.fr/fr/salle/marche-gare-carpentras/idsite/19347","44.03434","5.04054"
