"","name","city","postalcode","address","url","long","lat"
"6254","Rock 'n' Roll Warehouse","Hamburg","22763","Friedensallee 126A","https://www.ticketmaster.de/venue/rock-n-roll-warehouse-hamburg-tickets/hamrocknro/701","9.91651","53.55762"
"6255","Trab Arena","Hamburg","22761","Luruper Chaussee 30","https://www.ticketmaster.de/venue/trab-arena-hamburg-tickets/hamtrabare/701","9.89395","53.57372"
"6256","Jugendtheater","Hamburg","22765","Borselstraße 14","https://www.ticketmaster.de/venue/jugendtheater-hamburg-tickets/hamjugendh/701","9.92584","53.55624"
"6257","Hafenklang Exil","Hamburg","22765","Große Bergstraße 178","https://www.ticketmaster.de/venue/hafenklang-exil-hamburg-tickets/hamhafenke/701","9.9409","53.55161"
"6258","Motte","Hamburg","22765","Eulenstraße 43","https://www.ticketmaster.de/venue/motte-hamburg-tickets/hammotte/701","9.92771","53.55031"
"6259","Metropolis","Hamburg","20354","Kleine Theaterstr. 10","https://www.ticketmaster.de/venue/metropolis-hamburg-tickets/hammetropo/701","9.92801","53.55647"
"6260","Edelfettwerk Eventlocation","Hamburg","22525","Schnackenburgallee 202","https://www.ticketmaster.de/venue/edelfettwerk-eventlocation-hamburg-tickets/hamedelfet/701","9.90594","53.59572"
"6261","Stadtcafé Ottensen (Event Halle)","Hamburg","22763","Behringstraße 42-44","https://www.ticketmaster.de/venue/stadtcafe-ottensen-event-halle--hamburg-tickets/hamstadtca/701","9.91941","53.55412"
"6262","Landhaus Walter (Aussengelände)","Hamburg","22303","Otto-Wels-Str. 2","https://www.ticketmaster.de/venue/landhaus-walter-aussengelande--hamburg-tickets/hamwaltaus/701","10.01487","53.59399"
"6263","Komödie W. Fährhaus (Kl. Saal)","Hamburg","22299","Hudtwalckerstraße 13","https://www.ticketmaster.de/venue/komodie-w-fahrhaus-kl-saal--hamburg-tickets/hamkomodik/701","9.99437","53.59365"
"6264","Freizeitpark Horner Rennbahn","Hamburg","22111","Rennbahnstraße 96","https://www.ticketmaster.de/venue/freizeitpark-horner-rennbahn-hamburg-tickets/hamhornerr/701","10.08129","53.55959"
"6265","Junges Musiktheater (Opernloft)","Hamburg","22089","Conventstraße 8-10","https://www.ticketmaster.de/venue/junges-musiktheater-opernloft--hamburg-tickets/hamjungesm/701","10.0369","53.56441"
"6266","Kulturpalast Hamburg","Hamburg","22119","Oejendorfer Weg 30a","https://www.ticketmaster.de/venue/kulturpalast-hamburg-hamburg-tickets/hamkultrpa/701","10.11071","53.5421"
"6267","Theater Oststeinbek","Oststeinbek","22113","Möllner Landstraße 22","https://www.ticketmaster.de/venue/theater-oststeinbek-oststeinbek-tickets/osktheatos/701","10.16345","53.54152"
"6268","Goldbekhaus - Open Air","Hamburg","22301","Moorfuhrtweg 9","https://www.ticketmaster.de/venue/goldbekhaus-open-air-hamburg-tickets/hamgoldope/701","10.00948","53.5849"
"6269","Goldbekhaus (Kinderetage)","Hamburg","22301","Moorfuhrtweg 9","https://www.ticketmaster.de/venue/goldbekhaus-kinderetage--hamburg-tickets/hamgoldkin/701","10.00948","53.5849"
"6270","Kreuzkirche","Hamburg","22041","Kedenburgstraße 10","https://www.ticketmaster.de/venue/kreuzkirche-hamburg-tickets/hamgemeinw/701","10.08709","53.5774"
"6271","Am Hafen","Wingst","21789","Am Hafen","https://www.ticketmaster.de/venue/am-hafen-wingst-tickets/wstamhafen/701","9.03567","53.75407"
"6272","Rudolf Steiner Schule Wandsbek","Hamburg","22159","Rahlstedter Weg 60","https://www.ticketmaster.de/venue/rudolf-steiner-schule-wandsbek-hamburg-tickets/hamrudolfs/701","10.12716","53.60284"
"6273","Festhalle","Ahlerstedt","21702","Ahrensmoor, Schuldamm 2","https://www.ticketmaster.de/venue/festhalle-ahlerstedt-tickets/ahrfesthal/701","9.48888","53.39577"
"6274","Schaufelraddampfer Mississippi Q","Hamburg","20359","St. Pauli Landungsbrücken (Brücke 3)","https://www.ticketmaster.de/venue/schaufelraddampfer-mississippi-q-hamburg-tickets/hammissipi/701","9.99247","53.55334"
"6275","Mandarin Kasino","Hamburg","20359","Reeperbahn 1","https://www.ticketmaster.de/venue/mandarin-kasino-hamburg-tickets/hammandari/701","9.64719","53.75287"
"6276","Millerntorstadion (Ballsaal)","Hamburg","20359","Heiligengeistfeld","https://www.ticketmaster.de/venue/millerntorstadion-ballsaal--hamburg-tickets/hammillerb/701","9.97492","53.55647"
"6277","Clubheim St. Pauli","Hamburg","20359","Auf dem Heiligengeistfeld","https://www.ticketmaster.de/venue/clubheim-st-pauli-hamburg-tickets/hamclubstp/701","9.97492","53.55647"
"6278","Kulturhaus (III&70)","Hamburg",NA,"Schulterblatt 73","https://www.ticketmaster.de/venue/kulturhaus-iii70--hamburg-tickets/hamkulturi/701","9.96125","53.56239"
"6279","Astoria","Hamburg","20359","Landungsbrücken (Brücke 7-10)","https://www.ticketmaster.de/venue/astoria-hamburg-tickets/hamastraev/701","9.96667","53.54611"
"6280","Esskultur","Hamburg","20359","Trommelstraße 4","https://www.ticketmaster.de/venue/esskultur-hamburg-tickets/hamesskult/701","9.95677","53.548"
"6281","Grüner Jäger","Hamburg","20359","Neuer Pferdemarkt 36","https://www.ticketmaster.de/venue/gruner-jager-hamburg-tickets/hamgruener/701","9.9637","53.55677"
"6282","Schaufelraddampfer Louisiana","Hamburg","20359","St. Pauli Landungsbrücken 6-10","https://www.ticketmaster.de/venue/schaufelraddampfer-louisiana-hamburg-tickets/hamlouisia/701","9.967","53.54571"
"6283","Schule Altonaer Strasse","Hamburg","20357","Schanzenstraße 105","https://www.ticketmaster.de/venue/schule-altonaer-strasse-hamburg-tickets/hamaltonau/701","9.96483","53.56424"
"6284","Messe","Hamburg","20355","Karolinenstraße","https://www.ticketmaster.de/venue/messe-hamburg-tickets/hammesse/701","9.97444","53.55949"
"6285","Parkbühne Gutshaus","Stubbendorf","18195","Gutshaus Ehmkendorf","https://www.ticketmaster.de/venue/parkbuhne-gutshaus-stubbendorf-tickets/ehmparkbue/701","12.55686","54.08131"
"6286","Festivalgelände","Kavelstorf","18196","OT Klingendorf, Eulenbruch 1-2","https://www.ticketmaster.de/venue/festivalgelande-kavelstorf-tickets/klifestiva/701","12.18391","53.99145"
"6287","Volkstheater (Grosses Haus)","Rostock","18057","Doberaner Straße 134-135","https://www.ticketmaster.de/venue/volkstheater-grosses-haus--rostock-tickets/rosvolksgr/701","12.11728","54.09045"
"6288","Kastanienplatz","Rostock","18057","Trotzenburger Weg","https://www.ticketmaster.de/venue/kastanienplatz-rostock-tickets/roskastani/701","12.0877","54.08456"
"6289","Gutshaus & Kirche","Zemitz","17440","OT Wehrland, Zum Bauerberg","https://www.ticketmaster.de/venue/gutshaus--kirche-zemitz-tickets/bwegutshau/701","13.75338","53.97674"
"6290","Pommernhalle","Ahlbeck","17419","Bahnhofstraße","https://www.ticketmaster.de/venue/pommernhalle-ahlbeck-tickets/ahlpommern/701","14.18988","53.93649"
"6291","Diverse Veranstaltungsstätten","Rostock","18055",NA,"https://www.ticketmaster.de/venue/diverse-veranstaltungsstatten-rostock-tickets/rosdiverse/701","12.141044","54.08578"
"6292","Stadthalle (Saal 2)","Rostock","18059","Südring 90","https://www.ticketmaster.de/venue/stadthalle-saal-2--rostock-tickets/rosstadthz/701","12.10528","54.23236"
"6293","LT-Club Studio 1","Rostock","18059","Tiergartenallee 1-2","https://www.ticketmaster.de/venue/lt-club-studio-1-rostock-tickets/rosltclubs/701","12.10233","54.08076"
"6294","Zwischenbau","Rostock","18059","Erich-Schlesinger-Straße 19a","https://www.ticketmaster.de/venue/zwischenbau-rostock-tickets/roszwische/701","12.11548","54.07871"
"6295","SBZ Pumpe","Rostock","18059","Ziolkowskistraße 12","https://www.ticketmaster.de/venue/sbz-pumpe-rostock-tickets/rospumpe/701","12.12312","54.0741"
"6296","Kurhaussaal Warnemünde","Rostock","18119","Seestraße 18","https://www.ticketmaster.de/venue/kurhaussaal-warnemunde-rostock-tickets/roskurhaus/701","12.07908","54.17919"
"6297","Scheune des Gutshauses","Stolpe","17391","Peenstraße 33","https://www.ticketmaster.de/venue/scheune-des-gutshauses-stolpe-tickets/stpscheune/701","13.5048","53.86933"
"6298","Flughafen Anklam","Anklam","17389","Am Flugplatz 1","https://www.ticketmaster.de/venue/flughafen-anklam-anklam-tickets/ankflughaf/701","13.67865","53.83577"
"6299","Schlosskirche","Neustrelitz","17235","Hertelstraße","https://www.ticketmaster.de/venue/schlosskirche-neustrelitz-tickets/nsrschloss/701","13.05802","53.35968"
"6300","Kulturkosmos Gelände Lärz","Lärz","17248","Flugplatz","https://www.ticketmaster.de/venue/kulturkosmos-gelande-larz-larz-tickets/msekulturk/701","12.73715","53.30114"
"6301","Festspielscheune Ulrichshusen","Schwinkendorf","17194","Seestraße 14","https://www.ticketmaster.de/venue/festspielscheune-ulrichshusen-schwinkendorf-tickets/sdofestspi/701","12.62555","53.62781"
"6302","Golf- und Wellnesshotel Schloss","Teterow","17166","Teschow, Gutshofallee 1","https://www.ticketmaster.de/venue/golf-und-wellnesshotel-schloss-teterow-tickets/tesgolfwel/701","12.62658","53.78641"
"6303","Schloss Ulrichshusen","Schwinkendorf","17194","Seestraße 14","https://www.ticketmaster.de/venue/schloss-ulrichshusen-schwinkendorf-tickets/sdoschloss/701","12.62527","53.62794"
"6304","Instituto Cervantes, Chilehaus","Hamburg","20095","Eingang B, Fischertwiete 1","https://www.ticketmaster.de/venue/instituto-cervantes-chilehaus-hamburg-tickets/haminstitu/701","10.00045","53.54928"
"6305","Schloss Hasenwinkel","Bibow","19417","Am Schlosspark 2","https://www.ticketmaster.de/venue/schloss-hasenwinkel-bibow-tickets/hwlschloss/701","11.63245","53.79345"
"6306","Kloster Zarrentin am Schaalsee","Zarrentin am Schaalsee","19246","Amtstraße","https://www.ticketmaster.de/venue/kloster-zarrentin-am-schaalsee-zarrentin-am-schaalsee-tickets/zrrkloster/701","10.91635","53.54875"
"6307","Festwiese","Hagenow","19230","Rudolf-Tarnow-Straße","https://www.ticketmaster.de/venue/festwiese-hagenow-tickets/hawfestwie/701","11.20572","53.43208"
"6308","Kurhaus Saal","Ostseebad Binz","18609","Strandpromenade 27","https://www.ticketmaster.de/venue/kurhaus-saal-ostseebad-binz-tickets/bizkurhaus/701","13.61254","54.4019"
